INDIGO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Id;Fecha_orden;Tipo Prioridad;Categoria;Subcategoria;Producto;Cantidad;Ventas;Margen;Descuento;Utilidad;Precio_venta;Precio_costo;Costo_envio;Modo_envio;Nombre_cliente;Pais;Prov. / Depto.;Segmento;Empaque;Fecha_envio;Canal de Venta
;6053;11/12/2010;5;1;Carpetas;Durable Pressboard Binders;4; 5,94 ;36%;4%; 7,60 ; 24,29 ; 3,80 ; 1,49 ;1;Maureen Fritzler;4;9;2;6;13/12/2010;2
;6054;8/9/2011;1;2;Mobiliario;Eldon Wave Desk Accessories;6; 3,30 ;37%;5%; 6,34 ; 24,15 ; 2,08 ; 5,33 ;3;Aleksandra Gannaway;6;134;2;6;10/9/2011;1
;6054;8/9/2011;1;1;Organizadores;Decoflex Hanging Personal Folder File, Blue;43; 27,54 ;44%;8%; 426,25 ; 1.099,99 ; 15,42 ; 10,68 ;3;Aleksandra Gannaway;6;142;2;6;13/9/2011;2
;6086;22/9/2011;4;1;Papel;Xerox 1880;48; 78,76 ;55%;4%; 1.927,94 ; 3.649,05 ; 35,44 ; 19,99 ;1;Michael Kennedy;5;46;2;6;24/9/2011;1
;6112;23/8/2009;5;2;Mesas;BPI Conference Tables;10; 280,87 ;48%;2%; 1.291,98 ; 2.832,68 ; 146,05 ; 80,20 ;2;Arianne Irving;3;117;2;4;23/8/2009;1
;6112;23/8/2009;5;3;Telefonos;Polyproplyene Holder;31; 115,77 ;43%;6%; 1.327,90 ; 3.379,51 ; 65,99 ; 5,92 ;1;Arianne Irving;3;106;2;6;24/8/2009;2
;6115;11/9/2010;5;2;Mobiliario;"Seth Thomas 13 1/2"" Wall Clock";25; 31,75 ;44%;10%; 269,88 ; 719,41 ; 17,78 ; 5,03 ;1;Matt Collins;2;27;4;6;12/9/2010;1
;6116;20/3/2009;5;1;Tijeras;High Speed Automatic Electric Letter Opener;6; 2.775,47 ;41%;4%; 6.161,55 ; 16.011,22 ; 1.637,53 ; 24,49 ;1;Barry Weirich;1;89;2;3;22/3/2009;4
;6116;20/3/2009;5;3;Perifericos;Belkin 105-Key Black Keyboard;7; 31,22 ;36%;1%; 76,49 ; 220,35 ; 19,98 ; 4,00 ;1;Barry Weirich;7;60;2;6;20/3/2009;1
;6117;21/12/2012;4;2;Mobiliario;"Executive Impressions 14""";7; 48,33 ;54%;7%; 158,99 ; 319,68 ; 22,23 ; 5,08 ;1;Annie Thurman;2;27;3;2;22/12/2012;2
;6144;21/6/2009;4;1;Etiquetas;Avery 492;24; 4,72 ;39%;7%; 36,26 ; 105,88 ; 2,88 ; 0,50 ;1;Ralph Kennedy;2;24;2;6;24/6/2009;3
;6144;21/6/2009;4;2;Mesas;Bretford CR4500 Series Slim Rectangular Table;4; 773,80 ;55%;3%; 1.609,50 ; 3.042,53 ; 348,21 ; 40,19 ;2;Ralph Kennedy;2;28;2;4;22/6/2009;3
;6148;24/12/2011;5;2;Mobiliario;Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry;50; 21,28 ;50%;5%; 478,80 ; 1.015,96 ; 10,64 ; 5,16 ;1;Mathew Reese;5;39;1;6;25/12/2011;2
;6148;24/12/2011;5;2;Mobiliario;"Seth Thomas 8 1/2"" Cubicle Clock";18; 32,19 ;37%;5%; 185,42 ; 557,14 ; 20,28 ; 6,68 ;3;Mathew Reese;5;38;1;6;25/12/2011;2
;6150;1/10/2012;4;1;Papel;Rediform S.O.S. Phone Message Books;38; 7,90 ;37%;6%; 93,12 ; 283,16 ; 4,98 ; 0,80 ;1;Mitch Gastineau;2;26;1;5;2/10/2012;3
;6179;2/6/2009;2;1;Sobres;"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box";50; 17,46 ;44%;9%; 305,63 ; 796,02 ; 9,78 ; 1,39 ;1;Elpida Rittenbach;7;50;4;6;3/6/2009;2
;6179;2/6/2009;2;3;Telefonos;Polyproplyene Holder;15; 401,98 ;50%;0%; 3.014,85 ; 6.037,78 ; 200,99 ; 8,08 ;1;Elpida Rittenbach;7;77;4;6;4/6/2009;1
;6180;11/4/2011;5;3;Telefonos;StarTAC 7760;44; 143,46 ;54%;1%; 3.345,41 ; 6.252,96 ; 65,99 ; 3,99 ;1;Sung Chung;2;28;3;6;13/4/2011;3
;6182;21/7/2012;1;1;Papel;Xerox 1966;40; 12,00 ;46%;4%; 201,60 ; 467,45 ; 6,48 ; 6,65 ;1;Grant Carroll;1;102;2;6;28/7/2012;3
;6182;21/7/2012;1;1;Papel;Xerox 213;18; 14,40 ;55%;4%; 132,19 ; 256,69 ; 6,48 ; 7,86 ;3;Grant Carroll;1;99;2;6;25/7/2012;1
;6183;15/6/2012;5;1;Papel;Xerox 1916;41; 81,57 ;40%;2%; 1.270,81 ; 3.283,21 ; 48,94 ; 5,86 ;1;Ionia McGrath;7;48;1;6;16/6/2012;2
;6211;23/11/2009;4;1;Carpetas;Peel & Stick Add-On Corner Pockets;28; 3,32 ;35%;1%; 31,64 ; 98,17 ; 2,16 ; 6,05 ;1;Nona Balk;3;111;2;6;25/11/2009;4
;6211;23/11/2009;4;1;Boligrafos;Boston 1730 StandUp Electric Pencil Sharpener;3; 33,41 ;36%;7%; 29,06 ; 102,19 ; 21,38 ; 8,99 ;1;Nona Balk;3;112;2;2;25/11/2009;1
;6241;29/12/2009;1;1;Boligrafos;Quartet Omega Colored Chalk, 12/Pack;24; 9,13 ;36%;8%; 61,32 ; 202,48 ; 5,84 ; 1,00 ;3;Henry Goldwyn;3;110;1;5;3/1/2010;2
;6241;29/12/2009;1;3;Telefonos;StarTAC 8000;29; 438,28 ;53%;0%; 6.736,31 ; 12.719,01 ; 205,99 ; 8,99 ;1;Henry Goldwyn;3;105;1;6;2/1/2010;3
;6246;21/10/2009;2;1;Ligas;Staples Vinyl Coated Paper Clips;13; 6,55 ;40%;6%; 28,95 ; 81,03 ; 3,93 ; 0,99 ;1;Philip Brown;4;19;3;5;23/10/2009;2
;6272;27/2/2010;3;2;Mobiliario;GE 4 Foot Flourescent Tube, 40 Watt;33; 33,29 ;55%;5%; 549,27 ; 1.052,60 ; 14,98 ; 8,99 ;1;Randy Ferguson;3;116;2;2;1/3/2010;4
;6272;27/2/2010;3;2;Mesas;Bevis 36 x 72 Conference Tables;48; 222,30 ;44%;0%; 4.695,05 ; 10.722,51 ; 124,49 ; 51,94 ;2;Randy Ferguson;3;120;2;4;1/3/2010;2
;6272;27/2/2010;3;3;Telefonos;Accessory28;8; 121,72 ;54%;9%; 438,18 ; 888,60 ; 55,99 ; 2,50 ;3;Randy Ferguson;3;107;2;2;1/3/2010;1
;6272;27/2/2010;3;2;Mobiliario;"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped";31; 230,39 ;54%;3%; 3.642,49 ; 6.941,86 ; 105,98 ; 13,99 ;1;Randy Ferguson;3;114;2;3;1/3/2010;2
;6274;14/7/2011;2;2;Mobiliario;Eldon Regeneration Recycled Desk Accessories, Smoke;22; 2,68 ;35%;5%; 17,67 ; 60,03 ; 1,74 ; 4,08 ;3;Eugene Moren;2;30;3;2;15/7/2011;4
;6279;29/1/2010;4;1;Carpetas;Catalog Binders with Expanding Posts;49; 108,52 ;38%;1%; 1.967,40 ; 5.284,11 ; 67,28 ; 19,99 ;1;Katrina Willman;7;77;4;6;31/1/2010;3
;6304;11/8/2011;3;1;Papel;Xerox 1966;30; 14,40 ;55%;1%; 233,28 ; 434,33 ; 6,48 ; 6,65 ;1;Adam Shillingsburg;2;32;2;6;13/8/2011;4
;6309;9/6/2010;5;1;Etiquetas;Avery 474;10; 6,26 ;54%;1%; 33,18 ; 62,97 ; 2,88 ; 0,99 ;1;Art Miller;2;28;2;6;10/6/2010;4
;6310;3/5/2009;2;2;Mobiliario;"6"" Cubicle Wall Clock, Black";27; 12,64 ;36%;8%; 95,56 ; 321,95 ; 8,09 ; 7,96 ;1;Katharine Harms;2;32;4;6;4/5/2009;3
;6311;10/2/2010;5;3;Telefonos;Polyproplyene Holder;18; 136,49 ;37%;4%; 810,76 ; 2.369,36 ; 85,99 ; 10,78 ;1;Anna Gayman;4;21;2;6;13/2/2010;4
;6336;28/8/2011;3;1;Carpetas;"Wilson Jones Hanging View Binder, White, 1""";43; 13,92 ;49%;1%; 287,34 ; 598,69 ; 7,10 ; 6,05 ;3;Joseph Holt;3;118;3;6;30/8/2011;3
;6337;31/8/2011;2;2;Mobiliario;Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats;48; 144,31 ;51%;1%; 3.463,35 ; 6.895,01 ; 70,71 ; 37,58 ;1;Justin Knight;2;24;2;5;2/9/2011;2
;6337;31/8/2011;2;2;Mesas;Bretford Rectangular Conference Table Tops;1; 696,54 ;46%;7%; 271,65 ; 733,41 ; 376,13 ; 85,63 ;2;Justin Knight;2;25;2;4;1/9/2011;4
;6339;11/12/2012;4;1;Organizadores;Super Decoflex Portable Personal File;20; 33,29 ;55%;5%; 332,89 ; 640,18 ; 14,98 ; 7,69 ;1;Jonathan Doherty;3;110;2;6;12/12/2012;4
;6368;22/2/2009;2;3;Maquinas de oficina;Okidata ML390 Turbo Dot Matrix Printers;40; 701,81 ;37%;0%; 10.386,78 ; 28.087,08 ; 442,14 ; 14,70 ;2;Anthony O'Donnell;2;29;2;7;22/2/2009;3
;6369;19/12/2009;3;2;Mesas;Chromcraft Bull-Nose Wood Oval Conference Tables & Bases;30; 860,91 ;36%;10%; 6.715,07 ; 23.290,17 ; 550,98 ; 45,70 ;2;Denise Leinenbach;7;49;2;4;21/12/2009;2
;6373;23/1/2012;2;1;Accesorios;Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection;1; 124,43 ;51%;1%; 62,21 ; 127,68 ; 60,97 ; 4,50 ;1;Denise Leinenbach;7;79;3;6;24/1/2012;4
;6374;7/8/2011;4;3;Perifericos;"Imation 3.5"" Diskettes, IBM Format, DS/HD, 10/Box, Neon";29; 47,86 ;35%;7%; 388,64 ; 1.294,43 ; 31,11 ; 3,60 ;3;Ricardo Emerson;2;27;2;2;8/8/2011;2
;6374;7/8/2011;4;1;Ligas;Binder Clips by OIC;1; 3,29 ;55%;1%; 1,78 ; 3,96 ; 1,48 ; 0,70 ;1;Ricardo Emerson;2;28;2;5;9/8/2011;1
;6402;23/4/2011;1;1;Tijeras;Acme Box Cutter Scissors;35; 16,77 ;39%;1%; 223,05 ; 585,78 ; 10,23 ; 4,68 ;1;Nathan Mautz;7;63;2;2;28/4/2011;2
;6403;11/2/2011;1;1;Organizadores;Smead Adjustable Mobile File Trolley with Lockable Top;41; 676,11 ;38%;0%; 10.533,84 ; 27.740,62 ; 419,19 ; 19,99 ;1;John Lucas;4;16;1;6;13/2/2011;1
;6406;14/8/2009;4;1;Tijeras;Kleencut Forged Office Shears by Acme United Corporation;43; 3,71 ;44%;5%; 62,29 ; 154,29 ; 2,08 ; 2,56 ;1;Mick Crebagga;3;105;3;2;16/8/2009;4
;6432;10/11/2011;4;1;Accesorios;Belkin 6 Outlet Metallic Surge Strip;30; 17,29 ;37%;8%; 150,39 ; 481,59 ; 10,89 ; 4,50 ;1;Lena Creighton;4;17;2;6;12/11/2011;3
;6433;22/11/2011;5;1;Etiquetas;Avery 487;41; 6,15 ;40%;1%; 98,34 ; 250,13 ; 3,69 ; 0,50 ;1;Matt Collister;5;33;3;6;23/11/2011;1
;6434;7/6/2009;3;1;Papel;Wirebound Voice Message Log Book;13; 7,32 ;35%;7%; 26,66 ; 89,42 ; 4,76 ; 0,88 ;1;Rob Haberlin;2;28;2;5;7/6/2009;3
;6438;16/5/2010;2;2;Mobiliario;DAX Solid Wood Frames;7; 21,71 ;55%;2%; 80,55 ; 154,96 ; 9,77 ; 6,02 ;1;Anna Haberlin;4;23;2;3;16/5/2010;4
;6438;16/5/2010;2;1;Papel;Xerox 1992;38; 13,00 ;54%;6%; 237,12 ; 469,56 ; 5,98 ; 5,20 ;1;Anna Haberlin;4;3;2;6;17/5/2010;1
;6464;28/5/2009;5;1;Accesorios;Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection;1; 135,49 ;55%;7%; 65,03 ; 130,50 ; 60,97 ; 4,50 ;1;Ralph Arnett;5;35;4;6;30/5/2009;4
;6464;28/5/2009;5;2;Mobiliario;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;42; 171,66 ;47%;0%; 3.388,58 ; 7.265,94 ; 90,98 ; 56,20 ;1;Ralph Arnett;5;37;4;3;30/5/2009;2
;6465;12/8/2011;1;1;Papel;Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11;36; 14,64 ;53%;6%; 247,68 ; 497,36 ; 6,88 ; 2,00 ;3;Alan Shonely;7;71;1;5;19/8/2011;3
;6498;17/3/2009;5;3;Perifericos;Imation Neon Mac Format Diskettes, 10/Pack;38; 14,76 ;45%;1%; 246,85 ; 558,24 ; 8,12 ; 2,83 ;3;Julie Prescott;4;3;3;2;18/3/2009;1
;6500;12/10/2012;4;3;Perifericos;Fellowes Internet Keyboard, Platinum;15; 67,60 ;55%;10%; 456,30 ; 921,25 ; 30,42 ; 8,65 ;1;Tony Sayre;2;26;3;6;14/10/2012;3
;6500;12/10/2012;4;1;Boligrafos;Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink;20; 3,90 ;50%;6%; 34,32 ; 74,95 ; 1,95 ; 1,63 ;1;Tony Sayre;2;28;3;5;13/10/2012;3
;6501;13/1/2012;3;1;Papel;Xerox 215;35; 12,46 ;48%;6%; 183,18 ; 416,72 ; 6,48 ; 6,74 ;1;Arianne Irving;3;111;2;6;15/1/2012;4
;6501;13/1/2012;3;3;Telefonos;Timeport L7089;46; 221,04 ;43%;9%; 3.456,99 ; 9.260,22 ; 125,99 ; 7,69 ;1;Arianne Irving;3;110;2;6;15/1/2012;2
;6502;20/8/2011;5;1;Papel;"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";16; 13,17 ;42%;10%; 67,44 ; 195,51 ; 7,64 ; 5,83 ;3;Max Jones;4;21;3;5;20/8/2011;2
;6502;20/8/2011;5;1;Papel;Xerox 1948;30; 21,26 ;53%;5%; 306,08 ; 610,90 ; 9,99 ; 5,12 ;1;Max Jones;4;13;3;6;23/8/2011;3
;6529;26/11/2012;5;1;Ligas;Staples Metal Binder Clips;35; 5,04 ;48%;4%; 77,59 ; 170,09 ; 2,62 ; 0,80 ;1;Cynthia Arntzen;3;113;1;5;28/11/2012;2
;6531;17/7/2010;3;1;Accesorios;Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags;42; 9,71 ;55%;5%; 203,93 ; 392,62 ; 4,37 ; 5,15 ;1;Jill Fjeld;6;131;3;6;19/7/2010;3
;6531;17/7/2010;3;1;Boligrafos;Prismacolor Color Pencil Set;28; 30,52 ;35%;6%; 247,85 ; 807,47 ; 19,84 ; 4,10 ;1;Jill Fjeld;6;144;3;5;19/7/2010;2
;6535;12/6/2012;4;1;Boligrafos;Boston Electric Pencil Sharpener, Model 1818, Charcoal Black;11; 53,11 ;47%;7%; 233,70 ; 552,34 ; 28,15 ; 8,99 ;3;Adrian Hane;1;96;2;2;15/6/2012;4
;6560;4/1/2011;1;1;Accesorios;Staples 4 Outlet Surge Protector;20; 18,85 ;54%;9%; 169,63 ; 346,53 ; 8,67 ; 3,50 ;1;Max Ludwig;3;108;2;6;8/1/2011;4
;6560;4/1/2011;1;2;Mesas;Global Adaptabilities Conference Tables;37; 610,83 ;54%;4%; 11.300,28 ; 21.732,21 ; 280,98 ; 35,67 ;2;Max Ludwig;3;115;2;4;9/1/2011;4
;6562;20/12/2009;4;3;Maquinas de oficina;Okidata ML395C Color Dot Matrix Printer;12; 2.775,80 ;51%;2%; 16.321,68 ; 32.658,06 ; 1.360,14 ; 14,70 ;2;Brendan Sweed;2;24;4;7;22/12/2009;1
;6564;21/1/2011;1;3;Perifericos;Logitech Access Keyboard;26; 25,77 ;38%;1%; 247,95 ; 667,43 ; 15,98 ; 4,00 ;1;Anne McFarland;6;134;4;6;21/1/2011;2
;6566;21/5/2011;4;3;Perifericos;Imation Neon 80 Minute CD-R Spindle, 50/Pack;21; 56,63 ;40%;1%; 463,83 ; 1.179,40 ; 33,98 ; 1,99 ;1;Kean Thornton;6;134;2;2;21/5/2011;3
;6592;1/12/2009;1;1;Tijeras;"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut";29; 14,55 ;53%;9%; 185,70 ; 392,43 ; 6,84 ; 8,37 ;1;Tamara Chand;4;1;4;2;8/12/2009;4
;6592;1/12/2009;1;1;Organizadores;Tennsco Industrial Shelving;33; 94,06 ;48%;7%; 1.272,60 ; 2.921,63 ; 48,91 ; 35,00 ;3;Tamara Chand;4;7;4;1;3/12/2009;3
;6596;21/7/2011;1;3;Maquinas de oficina;Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;36; 808,03 ;38%;2%; 10.472,10 ; 28.535,52 ; 500,98 ; 28,14 ;2;Chad Sievert;7;55;2;7;26/7/2011;3
;6625;15/8/2010;3;2;Librerias;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;23; 1.915,17 ;54%;1%; 23.345,97 ; 43.653,06 ; 880,98 ; 44,55 ;2;Roy Skaria;3;107;2;4;17/8/2010;1
;6656;15/5/2009;4;1;Carpetas;Ibico Recycled Linen-Style Covers;45; 78,12 ;50%;2%; 1.687,39 ; 3.455,64 ; 39,06 ; 10,55 ;1;Dennis Bolton;4;4;1;6;15/5/2009;3
;6656;15/5/2009;4;1;Carpetas;Vinyl Sectional Post Binders;50; 71,13 ;47%;10%; 1.315,94 ; 3.203,93 ; 37,70 ; 2,99 ;1;Dennis Bolton;4;7;1;6;16/5/2009;3
;6661;16/4/2010;1;3;Copiadoras;Canon PC940 Copier;47; 762,69 ;41%;10%; 11.112,46 ; 32.310,99 ; 449,99 ; 49,00 ;2;Clytie Kelty;2;29;1;7;20/4/2010;2
;6661;16/4/2010;1;2;Mobiliario;"Executive Impressions 13"" Clairmont Wall Clock";39; 29,58 ;35%;0%; 403,83 ; 1.159,95 ; 19,23 ; 6,15 ;1;Clytie Kelty;2;31;1;2;23/4/2010;2
;6693;24/5/2012;4;1;Ligas;Staples Metal Binder Clips;16; 5,14 ;49%;9%; 32,88 ; 75,60 ; 2,62 ; 0,80 ;1;Astrea Jones;6;126;2;5;26/5/2012;4
;6695;27/6/2012;1;1;Carpetas;Fellowes Black Plastic Comb Bindings;49; 9,37 ;38%;8%; 137,75 ; 430,93 ; 5,81 ; 8,49 ;3;Natalie Webber;7;50;2;6;27/6/2012;1
;6720;9/9/2010;2;1;Carpetas;Wilson Jones Impact Binders;31; 9,77 ;47%;3%; 133,31 ; 299,63 ; 5,18 ; 5,74 ;1;Patrick Jones;7;55;3;6;10/9/2010;1
;6720;9/9/2010;2;2;Librerias;O'Sullivan Living Dimensions 2-Shelf Bookcases;36; 219,96 ;45%;8%; 2.929,92 ; 7.343,84 ; 120,98 ; 58,64 ;2;Patrick Jones;7;56;3;4;12/9/2010;4
;6720;9/9/2010;2;1;Etiquetas;Avery 48;8; 11,45 ;45%;1%; 40,32 ; 91,22 ; 6,30 ; 0,50 ;1;Patrick Jones;7;79;3;6;11/9/2010;2
;6727;29/8/2009;1;1;Etiquetas;Avery 498;12; 6,28 ;54%;6%; 36,19 ; 71,37 ; 2,89 ; 0,50 ;1;Stuart Van;5;44;4;6;29/8/2009;2
;6753;26/9/2010;1;2;Mobiliario;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;7; 12,77 ;48%;4%; 39,33 ; 90,76 ; 6,64 ; 4,95 ;1;Robert Barroso;6;132;1;2;28/9/2010;2
;6754;11/8/2011;3;3;Telefonos;i470;13; 343,32 ;40%;1%; 1.740,62 ; 4.423,75 ; 205,99 ; 5,26 ;1;Bill Overfelt;4;14;2;6;13/8/2011;2
;6755;1/5/2011;3;1;Carpetas;"Wilson Jones Hanging View Binder, White, 1""";20; 11,27 ;37%;1%; 81,14 ; 229,19 ; 7,10 ; 6,05 ;1;Kelly Lampkin;4;22;3;6;3/5/2011;3
;6757;1/2/2012;5;1;Organizadores;Multi-Use Personal File Cart and Caster Set, Three Stacking Bins;27; 69,52 ;50%;10%; 750,82 ; 1.697,56 ; 34,76 ; 8,22 ;1;Brooke Gillingham;2;28;1;6;3/2/2012;1
;6757;1/2/2012;5;2;Mesas;Riverside Furniture Stanwyck Manor Table Series;11; 486,19 ;41%;10%; 1.657,90 ; 4.875,01 ; 286,85 ; 61,76 ;2;Brooke Gillingham;2;27;1;4;2/2/2012;1
;6785;6/5/2012;5;2;Mobiliario;"Executive Impressions 13"" Chairman Wall Clock";7; 45,32 ;44%;3%; 130,07 ; 316,72 ; 25,38 ; 8,99 ;1;Nathan Mautz;7;53;3;2;8/5/2012;1
;6788;4/8/2011;2;1;Boligrafos;Newell 343;41; 4,82 ;39%;2%; 73,11 ; 194,61 ; 2,94 ; 0,96 ;3;Bobby Elias;6;123;1;5;6/8/2011;2
;6788;4/8/2011;2;1;Ligas;Assorted Color Push Pins;6; 2,87 ;37%;7%; 5,17 ; 16,78 ; 1,81 ; 0,75 ;1;Bobby Elias;6;128;1;5;5/8/2011;4
;6791;1/2/2011;5;3;Maquinas de oficina;Canon MP25DIII Desktop Whisper-Quiet Printing Calculator;14; 81,22 ;36%;10%; 295,64 ; 1.033,53 ; 51,98 ; 10,17 ;3;Lindsay Castell;2;25;1;3;3/2/2011;1
;6823;21/7/2009;2;1;Carpetas;Large Capacity Hanging Post Binders;50; 55,44 ;55%;1%; 1.497,00 ; 2.747,49 ; 24,95 ; 2,99 ;1;Todd Boyes;4;9;1;6;22/7/2009;4
;6823;21/7/2009;2;3;Perifericos;"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack";31; 26,63 ;40%;0%; 330,25 ; 834,62 ; 15,98 ; 8,99 ;1;Todd Boyes;4;3;1;2;23/7/2009;1
;6848;13/9/2010;3;1;Carpetas;3M Organizer Strips;22; 9,47 ;43%;10%; 68,78 ; 195,36 ; 5,40 ; 7,78 ;1;Kelly Collister;3;114;4;6;14/9/2010;2
;6850;11/2/2010;3;3;Perifericos;TDK 4.7GB DVD-R;8; 15,64 ;36%;8%; 35,04 ; 117,11 ; 10,01 ; 1,99 ;1;Chuck Clark;2;30;2;2;11/2/2010;2
;6850;11/2/2010;3;3;Maquinas de oficina;Canon MP25DIII Desktop Whisper-Quiet Printing Calculator;41; 86,63 ;40%;8%; 1.136,63 ; 3.277,98 ; 51,98 ; 10,17 ;1;Chuck Clark;2;30;2;3;12/2/2010;2
;6850;11/2/2010;3;1;Organizadores;Fellowes Bankers Box Staxonsteel Drawer File/Stacking System;34; 101,53 ;36%;5%; 1.070,14 ; 3.286,34 ; 64,98 ; 6,88 ;1;Chuck Clark;2;24;2;6;13/2/2010;4
;6850;11/2/2010;3;2;Mesas;Balt Split Level Computer Training Table;26; 272,06 ;49%;5%; 3.112,35 ; 6.772,27 ; 138,75 ; 52,42 ;2;Chuck Clark;2;27;2;4;12/2/2010;3
;6854;6/1/2009;5;1;Carpetas;GBC VeloBinder Strips;1; 15,36 ;50%;7%; 6,60 ; 20,44 ; 7,68 ; 6,16 ;3;Victor Price;3;120;4;6;8/1/2009;3
;6854;6/1/2009;5;2;Mobiliario;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;19; 14,13 ;53%;5%; 128,84 ; 259,95 ; 6,64 ; 4,95 ;3;Victor Price;3;118;4;2;8/1/2009;3
;6880;25/5/2009;5;1;Papel;Xerox 1938;5; 85,54 ;44%;6%; 162,52 ; 407,88 ; 47,90 ; 5,86 ;1;Peter Buhler;6;142;4;6;27/5/2009;3
;6884;15/1/2009;1;1;Papel;Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright);41; 10,83 ;54%;1%; 235,25 ; 444,18 ; 4,98 ; 4,75 ;1;Skye Norling;1;98;3;6;20/1/2009;4
;6884;15/1/2009;1;1;Papel;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";47; 11,98 ;47%;4%; 242,14 ; 541,61 ; 6,35 ; 1,02 ;1;Skye Norling;1;100;3;5;20/1/2009;3
;6885;19/6/2012;1;2;Tapetes;Hon Comfortask Task/Swivel Chairs;4; 227,96 ;50%;2%; 437,68 ; 923,60 ; 113,98 ; 30,00 ;2;Damala Kotsonis;7;50;2;7;21/6/2012;3
;6885;19/6/2012;1;3;Maquinas de oficina;TI 36X Solar Scientific Calculator;40; 47,98 ;50%;9%; 786,87 ; 1.752,77 ; 23,99 ; 6,30 ;1;Damala Kotsonis;7;79;2;3;19/6/2012;2
;6886;19/1/2012;3;1;Organizadores;Hot File 7-Pocket, Floor Stand;46; 343,21 ;48%;8%; 6.315,09 ; 14.544,70 ; 178,47 ; 19,99 ;1;Maureen Gastineau;6;121;4;6;20/1/2012;2
;6912;10/12/2011;2;1;Accesorios;Holmes HEPA Air Purifier;14; 33,51 ;35%;9%; 121,97 ; 432,83 ; 21,78 ; 5,94 ;1;Alan Shonely;5;46;1;3;12/12/2011;3
;6916;4/6/2010;1;1;Organizadores;Crate-A-Files;40; 17,03 ;36%;8%; 190,75 ; 634,21 ; 10,90 ; 7,46 ;3;Andrew Gjertsen;1;83;4;6;8/6/2010;1
;6918;1/7/2011;4;3;Perifericos;80 Minute CD-R Spindle, 100/Pack - Staples;38; 77,41 ;49%;1%; 1.411,99 ; 2.914,22 ; 39,48 ; 1,99 ;1;Erin Ashbrook;4;15;4;2;3/7/2011;4
;6947;19/7/2011;4;2;Mobiliario;Deflect-o EconoMat Nonstudded, No Bevel Mat;9; 114,78 ;55%;0%; 568,15 ; 1.051,45 ; 51,65 ; 18,45 ;1;Logan Currie;3;106;1;3;21/7/2011;4
;6948;9/12/2010;2;3;Perifericos;Keytronic French Keyboard;15; 147,96 ;50%;4%; 1.020,92 ; 2.134,62 ; 73,98 ; 4,00 ;1;Phillip Breyer;4;3;2;6;10/12/2010;3
;6950;26/3/2012;1;3;Telefonos;Accessory24;4; 99,98 ;44%;8%; 143,97 ; 371,23 ; 55,99 ; 3,30 ;1;Dianna Arnett;5;42;3;2;28/3/2012;3
;6978;9/12/2010;3;3;Perifericos;Imation Neon Mac Format Diskettes, 10/Pack;47; 15,32 ;47%;7%; 288,03 ; 672,50 ; 8,12 ; 2,83 ;1;Art Foster;2;31;3;2;10/12/2010;4
;6979;27/2/2009;4;3;Maquinas de oficina;TI 30X Scientific Calculator;28; 23,98 ;50%;3%; 315,58 ; 657,29 ; 11,99 ; 5,99 ;1;Keith Dawkins;3;105;3;3;28/2/2009;4
;6980;18/2/2010;2;1;Carpetas;Angle-D Binders with Locking Rings, Label Holders;18; 13,27 ;45%;5%; 95,56 ; 234,68 ; 7,30 ; 7,72 ;1;Ralph Knight;1;97;4;6;19/2/2010;3
;6982;16/11/2011;2;3;Perifericos;80 Minute CD-R Spindle, 100/Pack - Staples;32; 70,50 ;44%;0%; 992,64 ; 2.257,99 ; 39,48 ; 1,99 ;3;Dorothy Wardle;1;92;2;2;18/11/2011;4
;6982;16/11/2011;2;2;Librerias;Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled;5; 180,32 ;44%;9%; 315,56 ; 877,84 ; 100,98 ; 57,38 ;2;Dorothy Wardle;1;101;2;4;18/11/2011;2
